ID,IPHONECAKE_LINK,VERSION,TOTAL_DOWNLOAD
350642635,https://www.iphonecake.com/app_350642635_.html,1.9.13,367153
631810777,https://www.iphonecake.com/app_631810777_.html,1.1.13,2420
544007664,https://www.iphonecake.com/app_544007664_.html,11.25,221890
865369938,https://www.iphonecake.com/app_865369938_.html,8.7.4,5180
1001425491,https://www.iphonecake.com/app_1001425491_.html,1.3,560
814834517,https://www.iphonecake.com/app_814834517_.html,1.10,460
479516143,https://www.iphonecake.com/app_479516143_.html,0.15.2,3347581
880971164,https://www.iphonecake.com/app_880971164_.html,2.6.0,270230
299604556,https://www.iphonecake.com/app_299604556_.html,7.18.1,4920
898670449,https://www.iphonecake.com/app_898670449_.html,3.3.3,7420
402656416,https://www.iphonecake.com/app_402656416_.html,2.8.3,137200
768592901,https://www.iphonecake.com/app_768592901_.html,4.0,89940
347345474,https://www.iphonecake.com/app_347345474_.html,8.20,59864
403684733,https://www.iphonecake.com/app_403684733_.html,4.33.0,439184
1053012308,https://www.iphonecake.com/app_1053012308_.html,1.4.1,34460
671464704,https://www.iphonecake.com/app_671464704_.html,1.19.3,18660
